Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
navigateToUrl,Firefox 54.0,,2018-09-17 19:09:32,2018-09-17 19:09:38,5.193s,PASSED
setText,Firefox 54.0,,2018-09-17 19:09:38,2018-09-17 19:09:44,6.238s,PASSED
setText,Firefox 54.0,,2018-09-17 19:09:44,2018-09-17 19:09:44,0.379s,PASSED
setText,Firefox 54.0,,2018-09-17 19:09:44,2018-09-17 19:09:45,0.350s,PASSED
click,Firefox 54.0,,2018-09-17 19:09:45,2018-09-17 19:09:51,6.576s,PASSED
delay,Firefox 54.0,,2018-09-17 19:09:51,2018-09-17 19:09:54,3.003s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-17 19:09:54,2018-09-17 19:09:54,0.068s,PASSED
closeBrowser,Firefox 54.0,,2018-09-17 19:09:54,2018-09-17 19:09:54,0.201s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-17 19:09:54,2018-09-17 19:09:54,0.019s,INCOMPLETE
openBrowser,Firefox 54.0,,2018-09-17 19:09:54,2018-09-17 19:09:54,0.000s,INCOMPLETE
