Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
navigateToUrl,Firefox 54.0,,2018-09-18 10:44:46,2018-09-18 10:44:52,6.084s,PASSED
setText,Firefox 54.0,,2018-09-18 10:44:52,2018-09-18 10:45:02,9.851s,PASSED
setText,Firefox 54.0,,2018-09-18 10:45:02,2018-09-18 10:45:02,0.275s,PASSED
setText,Firefox 54.0,,2018-09-18 10:45:02,2018-09-18 10:45:03,0.377s,PASSED
click,Firefox 54.0,,2018-09-18 10:45:03,2018-09-18 10:45:09,6.519s,PASSED
delay,Firefox 54.0,,2018-09-18 10:45:09,2018-09-18 10:45:12,3.001s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:45:12,2018-09-18 10:45:12,0.054s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:45:12,2018-09-18 10:45:12,0.193s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:45:12,2018-09-18 10:45:46,34.011s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:45:12,2018-09-18 10:45:25,12.866s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:45:25,2018-09-18 10:45:30,4.864s,PASSED
setText,Firefox 54.0,,2018-09-18 10:45:30,2018-09-18 10:45:37,6.307s,PASSED
setText,Firefox 54.0,,2018-09-18 10:45:37,2018-09-18 10:45:37,0.252s,PASSED
setText,Firefox 54.0,,2018-09-18 10:45:37,2018-09-18 10:45:37,0.414s,PASSED
click,Firefox 54.0,,2018-09-18 10:45:37,2018-09-18 10:45:43,6.032s,PASSED
delay,Firefox 54.0,,2018-09-18 10:45:43,2018-09-18 10:45:46,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:45:46,2018-09-18 10:45:46,0.058s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:45:46,2018-09-18 10:45:46,0.206s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:45:46,2018-09-18 10:46:21,34.334s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:45:46,2018-09-18 10:46:00,13.728s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:46:00,2018-09-18 10:46:05,4.739s,PASSED
setText,Firefox 54.0,,2018-09-18 10:46:05,2018-09-18 10:46:11,6.282s,PASSED
setText,Firefox 54.0,,2018-09-18 10:46:11,2018-09-18 10:46:12,0.354s,PASSED
setText,Firefox 54.0,,2018-09-18 10:46:12,2018-09-18 10:46:12,0.365s,PASSED
click,Firefox 54.0,,2018-09-18 10:46:12,2018-09-18 10:46:18,5.582s,PASSED
delay,Firefox 54.0,,2018-09-18 10:46:18,2018-09-18 10:46:21,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:46:21,2018-09-18 10:46:21,0.068s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:46:21,2018-09-18 10:46:21,0.194s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:46:21,2018-09-18 10:46:55,34.513s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:46:21,2018-09-18 10:46:33,12.536s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:46:33,2018-09-18 10:46:39,5.425s,PASSED
setText,Firefox 54.0,,2018-09-18 10:46:39,2018-09-18 10:46:46,7.145s,PASSED
setText,Firefox 54.0,,2018-09-18 10:46:46,2018-09-18 10:46:46,0.246s,PASSED
setText,Firefox 54.0,,2018-09-18 10:46:46,2018-09-18 10:46:47,0.439s,PASSED
click,Firefox 54.0,,2018-09-18 10:46:47,2018-09-18 10:46:52,5.389s,PASSED
delay,Firefox 54.0,,2018-09-18 10:46:52,2018-09-18 10:46:55,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:46:55,2018-09-18 10:46:55,0.123s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:46:55,2018-09-18 10:46:55,0.191s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:46:55,2018-09-18 10:47:29,33.629s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:46:55,2018-09-18 10:47:08,12.525s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:47:08,2018-09-18 10:47:13,4.996s,PASSED
setText,Firefox 54.0,,2018-09-18 10:47:13,2018-09-18 10:47:19,5.988s,PASSED
setText,Firefox 54.0,,2018-09-18 10:47:19,2018-09-18 10:47:19,0.437s,PASSED
setText,Firefox 54.0,,2018-09-18 10:47:19,2018-09-18 10:47:20,0.333s,PASSED
click,Firefox 54.0,,2018-09-18 10:47:20,2018-09-18 10:47:26,6.090s,PASSED
delay,Firefox 54.0,,2018-09-18 10:47:26,2018-09-18 10:47:29,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:47:29,2018-09-18 10:47:29,0.073s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:47:29,2018-09-18 10:47:29,0.176s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:47:29,2018-09-18 10:48:02,33.261s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:47:29,2018-09-18 10:47:42,12.688s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:47:42,2018-09-18 10:47:46,4.756s,PASSED
setText,Firefox 54.0,,2018-09-18 10:47:46,2018-09-18 10:47:53,6.102s,PASSED
setText,Firefox 54.0,,2018-09-18 10:47:53,2018-09-18 10:47:53,0.377s,PASSED
setText,Firefox 54.0,,2018-09-18 10:47:53,2018-09-18 10:47:53,0.317s,PASSED
click,Firefox 54.0,,2018-09-18 10:47:53,2018-09-18 10:47:59,5.742s,PASSED
delay,Firefox 54.0,,2018-09-18 10:47:59,2018-09-18 10:48:02,3.004s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:48:02,2018-09-18 10:48:02,0.068s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:48:02,2018-09-18 10:48:02,0.195s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:48:02,2018-09-18 10:48:36,33.484s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:48:02,2018-09-18 10:48:15,12.522s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:48:15,2018-09-18 10:48:20,4.805s,PASSED
setText,Firefox 54.0,,2018-09-18 10:48:20,2018-09-18 10:48:26,6.292s,PASSED
setText,Firefox 54.0,,2018-09-18 10:48:26,2018-09-18 10:48:26,0.377s,PASSED
setText,Firefox 54.0,,2018-09-18 10:48:26,2018-09-18 10:48:27,0.350s,PASSED
click,Firefox 54.0,,2018-09-18 10:48:27,2018-09-18 10:48:32,5.822s,PASSED
delay,Firefox 54.0,,2018-09-18 10:48:32,2018-09-18 10:48:35,3.003s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:48:35,2018-09-18 10:48:35,0.075s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:48:35,2018-09-18 10:48:36,0.217s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:48:36,2018-09-18 10:49:12,35.870s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:48:36,2018-09-18 10:48:48,12.641s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:48:48,2018-09-18 10:48:54,5.584s,PASSED
setText,Firefox 54.0,,2018-09-18 10:48:54,2018-09-18 10:49:01,6.615s,PASSED
setText,Firefox 54.0,,2018-09-18 10:49:01,2018-09-18 10:49:01,0.166s,PASSED
setText,Firefox 54.0,,2018-09-18 10:49:01,2018-09-18 10:49:01,0.154s,PASSED
click,Firefox 54.0,,2018-09-18 10:49:01,2018-09-18 10:49:08,7.435s,PASSED
delay,Firefox 54.0,,2018-09-18 10:49:08,2018-09-18 10:49:11,3.003s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:49:11,2018-09-18 10:49:11,0.074s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:49:11,2018-09-18 10:49:12,0.183s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:49:12,2018-09-18 10:49:44,32.824s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:49:12,2018-09-18 10:49:24,12.267s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:49:24,2018-09-18 10:49:29,4.821s,PASSED
setText,Firefox 54.0,,2018-09-18 10:49:29,2018-09-18 10:49:35,6.194s,PASSED
setText,Firefox 54.0,,2018-09-18 10:49:35,2018-09-18 10:49:35,0.360s,PASSED
setText,Firefox 54.0,,2018-09-18 10:49:35,2018-09-18 10:49:36,0.296s,PASSED
click,Firefox 54.0,,2018-09-18 10:49:36,2018-09-18 10:49:41,5.581s,PASSED
delay,Firefox 54.0,,2018-09-18 10:49:41,2018-09-18 10:49:44,3.001s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:49:44,2018-09-18 10:49:44,0.089s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:49:44,2018-09-18 10:49:44,0.206s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:49:44,2018-09-18 10:50:17,32.769s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:49:44,2018-09-18 10:49:57,12.089s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:49:57,2018-09-18 10:50:02,5.146s,PASSED
setText,Firefox 54.0,,2018-09-18 10:50:02,2018-09-18 10:50:08,6.102s,PASSED
setText,Firefox 54.0,,2018-09-18 10:50:08,2018-09-18 10:50:08,0.386s,PASSED
setText,Firefox 54.0,,2018-09-18 10:50:08,2018-09-18 10:50:08,0.314s,PASSED
click,Firefox 54.0,,2018-09-18 10:50:08,2018-09-18 10:50:14,5.454s,PASSED
delay,Firefox 54.0,,2018-09-18 10:50:14,2018-09-18 10:50:17,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:50:17,2018-09-18 10:50:17,0.076s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:50:17,2018-09-18 10:50:17,0.195s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:50:17,2018-09-18 10:50:53,35.332s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:50:17,2018-09-18 10:50:29,12.118s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:50:29,2018-09-18 10:50:35,6.173s,PASSED
setText,Firefox 54.0,,2018-09-18 10:50:35,2018-09-18 10:50:43,7.170s,PASSED
setText,Firefox 54.0,,2018-09-18 10:50:43,2018-09-18 10:50:43,0.489s,PASSED
setText,Firefox 54.0,,2018-09-18 10:50:43,2018-09-18 10:50:43,0.335s,PASSED
click,Firefox 54.0,,2018-09-18 10:50:43,2018-09-18 10:50:49,5.739s,PASSED
delay,Firefox 54.0,,2018-09-18 10:50:49,2018-09-18 10:50:52,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:50:52,2018-09-18 10:50:52,0.079s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:50:52,2018-09-18 10:50:53,0.213s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:50:53,2018-09-18 10:51:26,33.027s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:50:53,2018-09-18 10:51:05,12.169s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:51:05,2018-09-18 10:51:10,5.350s,PASSED
setText,Firefox 54.0,,2018-09-18 10:51:10,2018-09-18 10:51:16,6.112s,PASSED
setText,Firefox 54.0,,2018-09-18 10:51:16,2018-09-18 10:51:17,0.350s,PASSED
setText,Firefox 54.0,,2018-09-18 10:51:17,2018-09-18 10:51:17,0.285s,PASSED
click,Firefox 54.0,,2018-09-18 10:51:17,2018-09-18 10:51:22,5.481s,PASSED
delay,Firefox 54.0,,2018-09-18 10:51:22,2018-09-18 10:51:25,3.001s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:51:25,2018-09-18 10:51:25,0.081s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:51:25,2018-09-18 10:51:26,0.189s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:51:26,2018-09-18 10:52:32,1m - 6.438s,FAILED
openBrowser,Firefox 54.0,,2018-09-18 10:51:26,2018-09-18 10:51:46,20.200s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:51:46,2018-09-18 10:51:58,12.489s,PASSED
setText,Firefox 54.0,,2018-09-18 10:51:58,2018-09-18 10:52:32,33.735s,FAILED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:52:32,2018-09-18 10:53:05,33.251s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:52:32,2018-09-18 10:52:45,12.893s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:52:45,2018-09-18 10:52:50,4.809s,PASSED
setText,Firefox 54.0,,2018-09-18 10:52:50,2018-09-18 10:52:56,5.928s,PASSED
setText,Firefox 54.0,,2018-09-18 10:52:56,2018-09-18 10:52:56,0.357s,PASSED
setText,Firefox 54.0,,2018-09-18 10:52:56,2018-09-18 10:52:56,0.267s,PASSED
click,Firefox 54.0,,2018-09-18 10:52:56,2018-09-18 10:53:02,5.695s,PASSED
delay,Firefox 54.0,,2018-09-18 10:53:02,2018-09-18 10:53:05,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:53:05,2018-09-18 10:53:05,0.063s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:53:05,2018-09-18 10:53:05,0.228s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:53:05,2018-09-18 10:53:38,32.945s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:53:05,2018-09-18 10:53:18,12.508s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:53:18,2018-09-18 10:53:23,4.781s,PASSED
setText,Firefox 54.0,,2018-09-18 10:53:23,2018-09-18 10:53:29,6.145s,PASSED
setText,Firefox 54.0,,2018-09-18 10:53:29,2018-09-18 10:53:29,0.352s,PASSED
setText,Firefox 54.0,,2018-09-18 10:53:29,2018-09-18 10:53:29,0.285s,PASSED
click,Firefox 54.0,,2018-09-18 10:53:29,2018-09-18 10:53:35,5.575s,PASSED
delay,Firefox 54.0,,2018-09-18 10:53:35,2018-09-18 10:53:38,3.001s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:53:38,2018-09-18 10:53:38,0.078s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:53:38,2018-09-18 10:53:38,0.211s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:53:38,2018-09-18 10:54:00,22.164s,FAILED
openBrowser,Firefox 54.0,,2018-09-18 10:53:38,2018-09-18 10:53:48,9.745s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:53:48,2018-09-18 10:53:53,5.302s,PASSED
setText,Firefox 54.0,,2018-09-18 10:53:53,2018-09-18 10:53:57,3.357s,PASSED
setText,Firefox 54.0,,2018-09-18 10:53:57,2018-09-18 10:53:57,0.184s,PASSED
setText,Firefox 54.0,,2018-09-18 10:53:57,2018-09-18 10:53:57,0.193s,PASSED
click,Firefox 54.0,,2018-09-18 10:53:57,2018-09-18 10:53:57,0.212s,PASSED
delay,Firefox 54.0,,2018-09-18 10:53:57,2018-09-18 10:54:00,3.001s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:54:00,2018-09-18 10:54:00,0.162s,FAILED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:54:00,2018-09-18 10:54:40,39.613s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:54:00,2018-09-18 10:54:14,13.974s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:54:14,2018-09-18 10:54:20,6.001s,PASSED
setText,Firefox 54.0,,2018-09-18 10:54:20,2018-09-18 10:54:30,9.971s,PASSED
setText,Firefox 54.0,,2018-09-18 10:54:30,2018-09-18 10:54:31,0.416s,PASSED
setText,Firefox 54.0,,2018-09-18 10:54:31,2018-09-18 10:54:31,0.247s,PASSED
click,Firefox 54.0,,2018-09-18 10:54:31,2018-09-18 10:54:37,5.763s,PASSED
delay,Firefox 54.0,,2018-09-18 10:54:37,2018-09-18 10:54:40,3.001s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:54:40,2018-09-18 10:54:40,0.056s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:54:40,2018-09-18 10:54:40,0.177s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:54:40,2018-09-18 10:55:17,37.495s,FAILED
openBrowser,Firefox 54.0,,2018-09-18 10:54:40,2018-09-18 10:54:52,11.886s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:54:52,2018-09-18 10:54:57,5.208s,PASSED
setText,Firefox 54.0,,2018-09-18 10:54:57,2018-09-18 10:55:04,7.099s,PASSED
setText,Firefox 54.0,,2018-09-18 10:55:04,2018-09-18 10:55:04,0.267s,PASSED
setText,Firefox 54.0,,2018-09-18 10:55:04,2018-09-18 10:55:05,0.382s,PASSED
click,Firefox 54.0,,2018-09-18 10:55:05,2018-09-18 10:55:10,5.573s,PASSED
delay,Firefox 54.0,,2018-09-18 10:55:10,2018-09-18 10:55:13,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:55:13,2018-09-18 10:55:17,4.068s,FAILED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:55:17,2018-09-18 10:55:20,2.159s,FAILED
openBrowser,Firefox 54.0,,2018-09-18 10:55:17,2018-09-18 10:55:20,2.142s,FAILED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:55:20,2018-09-18 10:55:20,0.015s,INCOMPLETE
openBrowser,Firefox 54.0,,2018-09-18 10:55:20,2018-09-18 10:55:20,0.001s,INCOMPLETE
